4.892731	5.055649	5.159291	5.185705	5.264425
5.347528	5.37033	5.385502	5.456758	5.457789
5.4673	5.480074	5.491973	5.52445	5.536583
5.553168	5.575337	5.591714	5.645182	5.656513
5.679271	5.705577	5.723819	5.739818	5.759593
5.795901	5.805998	5.812158	5.815146	5.827086
5.832499	5.856421	5.890824	5.94873	5.991021
5.993239	6.003148	6.004335	6.01256	6.019834
6.027532	6.034856	6.073431	6.088559	6.105662
6.168262	6.168344	6.175517	6.190678	6.198394
6.216103	6.220894	6.252927	6.259461	6.261205
6.262654	6.299751	6.329307	6.369786	6.372639
6.410577	6.430125	6.468555	6.52841	6.562503
6.58272	6.602759	6.656908	6.660301	6.666247
6.677188	6.698925	6.730969	6.737446	6.76717
6.794641	6.943019	6.998175	7.049184	7.080796
7.190544	7.19698	7.223692	7.229241	7.302237
7.348843	7.376972	7.528107	7.553631	7.645719
7.713587	7.740826	7.826001	7.885185	7.902892
8.294468	8.691253	8.969262	10.09659	10.5848
